Age Group,Subject,Resource Type,Game Name,Take From Repo,Use Only In,Pratham Comments,LE Comments
8-14 years,Fun,Game,Palat,,,,http://repository.prathamopenschool.org/Zip/Hindi/Palat_HI_Hindi.zip
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
14 and above OLD,,,,,,,
,,,,,,,
,,,,,,,
14 and above,Hospitality,Website Resources,,,,CRS128 in HI,Hospitality
14 and above,Automobile,Website Resources,,,,CRS129 in HI,Automobile
14 and above,Beauty,Website Resources,,,,CRS130 in HI,Beauty
14 and above,Electric,Website Resources,,,,CRS131 in HI,Electric
14 and above,Construction,Website Resources,,,,CRS93 in HI,Construction
14 and above,Healthcare,Website Resources,,,,CRS91 in HI,Healthcare
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
New LanguageAndCommunication tab with sign language,,,,,,,
6-10 years,LanguageAndCommunication,Website Resources,,,Hindi,,"Available on webserver, but no longer linked to from website"
8-14 years,LanguageAndCommunication,Website Resources,,,Hindi,,"Available on webserver, but no longer linked to from website"
14 and above,LanguageAndCommunication,Website Resources,,,Hindi,,"Available on webserver, but no longer linked to from website"
,,,,,,,
6-10 years,LanguageAndCommunication,Website Resources,,,Marathi,,"Available on webserver, but no longer linked to from website"
8-14 years,LanguageAndCommunication,Website Resources,,,Marathi,,"Available on webserver, but no longer linked to from website"
14 and above,LanguageAndCommunication,Website Resources,,,Marathi,,"Available on webserver, but no longer linked to from website"
,,,,,,,
6-10 years,LanguageAndCommunication,Website Resources,,,Tamil,,"Available on webserver, but no longer linked to from website"
8-14 years,LanguageAndCommunication,Website Resources,,,Tamil,,"Available on webserver, but no longer linked to from website"
14 and above,LanguageAndCommunication,Website Resources,,,Tamil,,"Available on webserver, but no longer linked to from website"
